,size,isEmpty,peek_obj_type,size_p,isEmpty_p,peek_obj_type_p
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
2,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
3,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean"""
5,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
6,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver"""
10,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String"""
11,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte"""
21,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean"""
22,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long"""
23,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer"""
24,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float"""
