,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('peek_obj_type == ""emptyobject""',)",1,"('isEmpty == ""true""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
1,"('isEmpty == ""true""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
2,"('size == ""0.0""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
3,"('peek_obj_type == ""emptyobject""',)",1,"('size == ""0.0""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
4,"('peek_obj_type == ""emptyobject""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
5,"('isEmpty == ""true""', 'size == ""0.0""')",2,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
6,"('size == ""0.0""',)",1,"('isEmpty == ""true""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
7,"('isEmpty == ""true""',)",1,"('size == ""0.0""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
8,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,"('size == ""0.0""',)",1,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
9,"('size == ""0.0""',)",1,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
10,"('peek_obj_type == ""emptyobject""',)",1,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
11,"('isEmpty == ""true""',)",1,"('peek_obj_type == ""emptyobject""', 'size == ""0.0""')",2,1.0,0.507973440158042,1.9686068619825423,492026559.8419579
12,"('size == ""1.0""',)",1,"('isEmpty == ""false""',)",1,1.0,0.26024255062283924,2.0324106087305656,507973440.158042
