,Unnamed: 0,size,isEmpty,peek_obj_type,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""",0,,12,"['0', '1', '2', '3', '4', '5', '6', '7', '10', '11', '12', '13']",0,
1,1,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
2,4,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
3,5,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
4,6,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
5,15,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,0,,0,
6,18,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
7,27,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
8,32,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
9,38,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
10,39,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
11,40,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
12,80,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
13,98,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
14,100,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
15,101,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
16,138,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
17,216,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
18,290,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
19,498,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
20,499,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
21,572,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
22,922,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
23,991,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
24,1238,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
25,1548,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
26,1696,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
27,2110,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
28,2150,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
29,2325,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,0,,0,
30,2749,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
31,3009,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
32,3011,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
33,3773,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
34,4314,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
35,4524,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object""",0,,0,,0,
36,4583,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object""",0,,0,,0,
37,8881,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
38,10074,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
39,12152,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
40,12911,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
41,14332,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character""",0,,0,,0,
42,16896,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character""",0,,0,,0,
43,28858,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,0,,0,
44,30963,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
45,32901,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
