,size,isEmpty,peek_obj_type
0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
1,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
2,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject"""
5,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
13,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
15,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
20,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
32,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string"""
44,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
54,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
79,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
87,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
92,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character"""
230,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
278,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
300,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
339,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
407,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
408,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
409,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
469,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
470,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
501,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float"""
502,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
503,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
638,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer"""
866,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
2647,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
3721,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
4643,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
4968,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object"""
5659,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
5745,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
5791,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte"""
8671,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long"""
14645,"size == ""8.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver"""
19259,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
21790,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short"""
22153,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean"""
30660,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class"""
60754,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double"""
