,Unnamed: 0,size,isEmpty,peek_obj_type,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""",0,,12,"['0', '1', '2', '3', '4', '5', '6', '7', '10', '11', '12', '13']",0,
1,1,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,1,['8'],0,
2,2,"size == ""2.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""",5,"['3', '4', '6', '7', '13']",2,"['10', '11']",5,"['3', '4', '6', '7', '13']"
3,5,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,1,['8'],0,
4,13,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,1,['8'],0,
5,15,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,0,,0,
6,20,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,2,"['8', '9']",0,
7,32,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,1,['8'],0,
8,44,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,1,['8'],0,
9,54,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
10,79,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
11,87,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,1,['8'],0,
12,92,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character""",0,,1,['8'],0,
13,230,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
14,278,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
15,300,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
16,339,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,1,['8'],0,
17,407,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
18,408,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
19,409,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
20,469,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
21,470,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
22,501,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
23,502,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
24,503,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
25,638,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,1,['8'],0,
26,866,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
27,2647,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object""",0,,0,,0,
28,3721,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
29,4643,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
30,4968,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object""",0,,1,['8'],0,
31,5659,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,1,['8'],0,
32,5745,"size == ""7.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
33,5791,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
34,8671,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
35,14645,"size == ""8.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
36,19259,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
37,21790,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
38,22153,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
39,30660,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
40,60754,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
