,Unnamed: 0,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,0,,0,
1,1,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,0,,0,
2,2,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@162be91c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
3,3,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
4,4,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
5,5,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
6,6,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
7,8,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
8,11,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
9,12,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,0,,0,
10,13,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
11,14,"isEmpty == ""false""","peek == ""false""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
12,15,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
13,16,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
14,18,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
15,24,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1c9f0a20""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
16,26,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
17,30,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
18,31,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
19,32,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2488b073""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
20,35,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1991f767""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
21,36,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
22,37,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
23,41,"isEmpty == ""false""","peek == ""nan""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
24,43,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,0,,0,
25,47,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@768ccdc5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
26,59,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@18518ccf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
27,60,"isEmpty == ""false""","peek == ""false""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
28,61,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
29,62,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
30,65,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@768ccdc5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
31,67,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4c6daf0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
32,68,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
33,74,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
34,75,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
35,79,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
36,87,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@659eef7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
37,94,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@10650953""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
38,100,"isEmpty == ""false""","peek == ""10""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
39,108,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@659eef7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
40,131,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@59d2103b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
41,138,"isEmpty == ""false""","peek == ""class java.lang.Object""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
42,145,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
43,146,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@9bd0fa6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
44,160,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@74e47444""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
45,175,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
46,195,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e4de19b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
47,197,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e4de19b""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
48,210,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@f6c03cb""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
49,213,"isEmpty == ""false""","peek == ""1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
50,214,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@46f699d5""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
51,221,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@39dcf4b0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
52,239,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@533377b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
53,242,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@f27ea3""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
54,247,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@346939bf""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
55,250,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4bf3798b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
56,268,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@10fde30a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
57,270,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
58,271,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58670130""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
59,281,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3383649e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
60,290,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1ce61929""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
61,308,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@34625ccd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
62,324,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c7d121c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
63,332,"isEmpty == ""false""","peek == ""-1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
64,334,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
65,339,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@67389cb8""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
66,358,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@65aa6596""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
67,365,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@65aa6596""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
68,371,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@419a20a6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
69,387,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
70,391,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@419a20a6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
71,403,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1ddae9b5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
72,404,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
73,407,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
74,408,"isEmpty == ""false""","peek == ""10""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
75,425,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@24bdb479""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
76,445,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@427b5f92""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
77,448,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7e3f95fe""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
