,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""', 'size == ""0.0""')",3,"('isEmpty == ""true""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
1,"('isEmpty == ""true""', 'isEmpty_p == ""False""', 'size == ""0.0""')",3,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
2,"('isEmpty == ""true""', 'isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""')",3,"('size == ""0.0""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
3,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
4,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""')",2,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
5,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,"('peek_obj_type == ""emptyobject""', 'size == ""0.0""')",2,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
6,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,"('size == ""0.0""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
7,"('peek_obj_type == ""emptyobject""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
8,"('isEmpty == ""true""', 'size == ""0.0""')",2,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
9,"('size == ""0.0""',)",1,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
10,"('peek_obj_type == ""emptyobject""',)",1,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
11,"('isEmpty == ""true""',)",1,"('peek_obj_type == ""emptyobject""', 'size == ""0.0""')",2,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
12,"('calledMethod_p == ""push""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.6512820512820513,1.0833333333333333,76923076.92307687
13,"('isEmpty == ""true""',)",1,"('size == ""0.0""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
14,"('size == ""0.0""',)",1,"('isEmpty == ""true""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
15,"('size == ""0.0""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
16,"('peek_obj_type == ""emptyobject""',)",1,"('size == ""0.0""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
17,"('isEmpty == ""true""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
18,"('peek_obj_type == ""emptyobject""',)",1,"('isEmpty == ""true""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
19,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
20,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,"('size == ""0.0""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
21,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
22,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""')",2,"('size == ""0.0""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
23,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""')",2,"('isEmpty == ""true""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
24,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
25,"('calledMethod_p == ""push""', 'isEmpty == ""false""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.4128205128205128,1.0833333333333333,76923076.92307687
