,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
1,"('isEmpty == ""true""', 'size == ""0.0""')",2,"('isEmpty_p == ""False""',)",1,0.9423076923076923,0.40273972602739727,1.0454173486088378,1.7095890114630143
2,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,"('size == ""0.0""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
3,"('size == ""0.0""',)",1,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,0.9423076923076923,0.40273972602739727,2.33974358974359,10.352511236081583
4,"('isEmpty == ""true""',)",1,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,0.9423076923076923,0.40273972602739727,2.33974358974359,10.352511236081583
5,"('size == ""0.0""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
6,"('peek_obj_type == ""emptyobject""',)",1,"('size == ""0.0""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
7,"('isEmpty == ""false""',)",1,"('isEmpty_p == ""False""',)",1,0.9106382978723404,0.5487179487179488,0.9865248226950356,0.8608058511730327
8,"('peek_obj_type == ""emptyobject""',)",1,"('isEmpty == ""true""', 'isEmpty_p == ""False""', 'size == ""0.0""')",3,0.9423076923076923,0.40273972602739727,2.33974358974359,10.352511236081583
9,"('isEmpty == ""true""',)",1,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""', 'size == ""0.0""')",3,0.9423076923076923,0.40273972602739727,2.33974358974359,10.352511236081583
10,"('isEmpty_p == ""False""', 'peek_obj_type == ""emptyobject""', 'size == ""0.0""')",3,"('isEmpty == ""true""',)",1,1.0,0.40273972602739727,2.33974358974359,572602739.7260274
11,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""', 'size == ""0.0""')",3,"('isEmpty_p == ""False""',)",1,0.9423076923076923,0.40273972602739727,1.0454173486088378,1.7095890114630143
12,"('size == ""0.0""',)",1,"('isEmpty == ""true""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
13,"('isEmpty == ""true""',)",1,"('size == ""0.0""',)",1,1.0,0.4273972602739726,2.33974358974359,572602739.7260274
14,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,"('isEmpty_p == ""False""',)",1,0.9423076923076923,0.40273972602739727,1.0454173486088378,1.7095890114630143
