,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('calledMethod == ""clear""', 'isEmpty_p == ""True""', 'peek_obj_type_p == ""class java.lang.String""')",3,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.2198904430144126,1.7481405727036075,427963622.8261447
1,"('calledMethod == ""clear""', 'isEmpty_p == ""True""', 'peek_obj_type == ""emptyobject""')",3,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.2198904430144126,1.6995064986713424,411593894.59128857
2,"('calledMethod == ""clear""', 'isEmpty_p == ""True""')",2,"('peek_obj_type == ""emptyobject""', 'peek_obj_type_p == ""class java.lang.String""')",2,1.0,0.2198904430144126,3.182310530413296,685762910.1739084
3,"('isEmpty_p == ""True""',)",1,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.4988083439520506,1.9243046883868773,480331775.9214687
4,"('calledMethod == ""clear""', 'peek_obj_type == ""emptyobject""', 'peek_obj_type_p == ""class java.lang.String""')",3,"('isEmpty_p == ""True""',)",1,1.0,0.30952950876353097,1.5770951595313332,365922852.5581354
5,"('calledMethod == ""push""', 'isEmpty_p == ""True""')",2,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.30489876822879797,1.924304688386877,480331775.9214687
6,"('peek_obj_type_p == ""class java.lang.String""',)",1,"('isEmpty_p == ""True""',)",1,1.0,0.6340771474418646,1.577095159531333,365922852.5581354
7,"('calledMethod == ""clear""', 'isEmpty_p == ""True""', 'peek_obj_type == ""emptyobject""')",3,"('isEmpty == ""true""',)",1,1.0,0.2198904430144126,1.7481405727036075,427963622.8261447
8,"('calledMethod == ""clear""', 'isEmpty == ""true""', 'isEmpty_p == ""True""')",3,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.2198904430144126,1.7481405727036075,427963622.8261447
9,"('calledMethod == ""clear""', 'isEmpty_p == ""True""')",2,"('isEmpty == ""true""', 'peek_obj_type == ""emptyobject""')",2,1.0,0.2198904430144126,1.7481405727036075,427963622.8261447
10,"('calledMethod == ""push""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('isEmpty_p == ""True""',)",1,1.0,0.24910236974387617,1.5770951595313332,365922852.5581354
11,"('calledMethod == ""push""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('isEmpty == ""false""',)",1,1.0,0.3060786257020152,1.995244709150404,498808343.9520505
12,"('calledMethod_p == ""push""', 'isEmpty == ""true""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.2870121289348247,1.995244709150404,498808343.9520505
13,"('isEmpty == ""false""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('calledMethod == ""push""',)",1,1.0,0.24910236974387617,2.8191497338231986,645283119.2318944
14,"('calledMethod == ""CTOR""',)",1,"('peek_obj_type == ""emptyobject""',)",1,1.0,0.25824602457054724,1.7481405727036072,427963622.8261447
15,"('calledMethod == ""push""', 'calledMethod_p == ""clear""')",2,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.2142610175802548,1.5770951595313332,365922852.5581354
16,"('calledMethod == ""clear""', 'isEmpty_p == ""True""', 'peek_obj_type_p == ""class java.lang.String""')",3,"('isEmpty == ""true""',)",1,1.0,0.2198904430144126,1.7481405727036075,427963622.8261447
17,"('calledMethod == ""clear""', 'isEmpty == ""true""', 'isEmpty_p == ""True""')",3,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.2198904430144126,1.6995064986713424,411593894.59128857
18,"('calledMethod == ""clear""', 'isEmpty_p == ""True""')",2,"('isEmpty == ""true""', 'peek_obj_type_p == ""class java.lang.String""')",2,1.0,0.2198904430144126,3.182310530413296,685762910.1739084
19,"('calledMethod == ""clear""', 'isEmpty == ""true""', 'peek_obj_type_p == ""class java.lang.String""')",3,"('isEmpty_p == ""True""',)",1,1.0,0.30952950876353097,1.5770951595313332,365922852.5581354
20,"('calledMethod == ""clear""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('isEmpty == ""true""', 'isEmpty_p == ""True""')",2,1.0,0.30952950876353097,2.597572770817981,615025222.3020116
21,"('isEmpty == ""false""', 'isEmpty_p == ""True""')",2,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.30489876822879797,1.924304688386877,480331775.9214687
22,"('isEmpty == ""false""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('isEmpty_p == ""True""',)",1,1.0,0.24910236974387617,1.5770951595313332,365922852.5581354
23,"('calledMethod_p == ""CTOR""', 'peek_obj_type_p == ""class java.lang.String""')",2,"('isEmpty_p == ""True""',)",1,1.0,0.2582566611710897,1.748140572703607,427963622.8261447
24,"('calledMethod_p == ""CTOR""', 'isEmpty_p == ""True""')",2,"('peek_obj_type_p == ""class java.lang.String""',)",1,1.0,0.2582566611710897,1.6995064986713426,411593894.59128857
25,"('calledMethod_p == ""CTOR""',)",1,"('isEmpty_p == ""True""', 'peek_obj_type_p == ""class java.lang.String""')",2,1.0,0.2582566611710897,1.748140572703607,427963622.8261447
