,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('calledMethod_p == ""clear""',)",1,"('isEmpty_p == ""True""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
1,"('isEmpty_p == ""False""',)",1,"('calledMethod_p == ""push""',)",1,0.9060712351985687,0.45411534286658173,1.9952447091504038,5.811687745237039
2,"('calledMethod_p == ""push""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.45411534286658173,1.9952447091504038,498808343.9520505
3,"('calledMethod_p == ""clear""', 'size_p == ""0""')",2,"('isEmpty_p == ""True""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
4,"('calledMethod_p == ""clear""', 'isEmpty_p == ""True""')",2,"('size_p == ""0""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
5,"('calledMethod_p == ""clear""',)",1,"('isEmpty_p == ""True""', 'size_p == ""0""')",2,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
6,"('calledMethod == ""clear""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
7,"('calledMethod == ""clear""', 'isEmpty == ""true""')",2,"('size == ""0.0""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
8,"('calledMethod == ""clear""',)",1,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
9,"('isEmpty == ""false""',)",1,"('calledMethod == ""push""',)",1,0.9060712351985687,0.45411534286658173,1.9952447091504038,5.811687745237039
10,"('calledMethod == ""push""',)",1,"('isEmpty == ""false""',)",1,1.0,0.45411534286658173,1.9952447091504038,498808343.9520505
11,"('calledMethod == ""clear""',)",1,"('isEmpty == ""true""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
12,"('size_p == ""0""',)",1,"('isEmpty_p == ""True""',)",1,1.0,0.4988083439520506,2.0047780116848406,501191656.04794943
13,"('isEmpty_p == ""True""',)",1,"('size_p == ""0""',)",1,1.0,0.4988083439520506,2.0047780116848406,501191656.04794943
14,"('isEmpty == ""true""',)",1,"('size == ""0.0""',)",1,1.0,0.4988083439520506,2.0047780116848406,501191656.04794943
15,"('size == ""0.0""',)",1,"('isEmpty == ""true""',)",1,1.0,0.4988083439520506,2.0047780116848406,501191656.04794943
16,"('calledMethod_p == ""clear""',)",1,"('size_p == ""0""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
17,"('calledMethod == ""clear""',)",1,"('size == ""0.0""',)",1,1.0,0.4000815624529021,1.577095159531333,365922852.5581354
