,Unnamed: 0,size,isEmpty,peek_obj_type,size_p,isEmpty_p,peek_obj_type_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",0,,318,"['0', '1', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '32', '36', '37', '47', '48', '49', '50', '51', '52', '55', '56', '70', '71', '72', '73', '74', '75', '78', '79', '80', '81', '82', '85', '86', '87', '88', '89', '90', '91', '92', '93', '94', '98', '99', '100', '101', '102', '103', '104', '105', '113', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124', '125', '126', '127', '131', '132', '133', '136', '137', '138', '139', '140', '141', '142', '143', '144', '145', '146', '147', '148', '149', '150', '151', '152', '158', '159', '161', '162', '163', '164', '165', '166', '167', '168', '176', '177', '178', '179', '180', '181', '182', '183', '184', '185', '186', '187', '188', '189', '192', '193', '194', '195', '203', '204', '207', '208', '209', '210', '211', '212', '213', '214', '215', '216', '217', '218', '219', '220', '221', '222', '223', '224', '225', '226', '227', '228', '229', '230', '231', '232', '233', '234', '235', '236', '237', '238', '239', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '250', '251', '252', '253', '254', '255', '256', '257', '260', '261', '262', '263', '264', '265', '266', '267', '268', '269', '270', '271', '272', '273', '274', '275', '276', '277', '278', '279', '280', '281', '282', '283', '284', '285', '286', '287', '288', '289', '290', '291', '292', '293', '294', '295', '296', '297', '298', '299', '305', '306', '317', '318', '319', '320', '321', '322', '324', '325', '326', '327', '328', '329', '330', '331', '332', '333', '334', '335', '346', '347', '348', '353', '354', '355', '356', '357', '358', '359', '360', '361', '362', '363', '364', '365', '366', '369', '370', '371', '372', '373', '374', '375', '376', '377', '379', '380', '381', '382', '383', '384', '385', '386', '387', '388', '389', '390', '391', '398', '399', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '413', '414', '415', '416', '435', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '446', '447', '448', '449', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '468']",0,
1,2,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']",15,"['53', '54', '205', '206', '392', '393', '394', '395', '396', '397', '447', '448', '449', '453', '454']",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']"
2,3,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""",0,,15,"['106', '107', '125', '126', '127', '196', '197', '198', '199', '200', '201', '340', '341', '418', '419']",0,
3,4,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']",15,"['53', '54', '205', '206', '392', '393', '394', '395', '396', '397', '447', '448', '449', '453', '454']",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']"
4,5,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""",0,,15,"['106', '107', '125', '126', '127', '196', '197', '198', '199', '200', '201', '340', '341', '418', '419']",0,
5,6,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']",15,"['53', '54', '205', '206', '392', '393', '394', '395', '396', '397', '447', '448', '449', '453', '454']",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']"
6,7,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""",0,,15,"['106', '107', '125', '126', '127', '196', '197', '198', '199', '200', '201', '340', '341', '418', '419']",0,
7,8,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']",15,"['53', '54', '205', '206', '392', '393', '394', '395', '396', '397', '447', '448', '449', '453', '454']",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']"
8,9,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""",57,"['32', '52', '56', '99', '103', '104', '105', '113', '138', '139', '140', '147', '148', '149', '150', '151', '152', '166', '167', '168', '195', '222', '223', '224', '226', '263', '264', '265', '266', '267', '268', '269', '277', '278', '279', '283', '284', '285', '286', '287', '288', '289', '335', '356', '376', '377', '389', '390', '391', '403', '414', '415', '416', '442', '443', '444', '446']",27,"['36', '37', '106', '107', '125', '126', '127', '158', '159', '196', '197', '198', '199', '200', '201', '305', '306', '317', '318', '319', '320', '321', '322', '340', '341', '418', '419']",57,"['32', '52', '56', '99', '103', '104', '105', '113', '138', '139', '140', '147', '148', '149', '150', '151', '152', '166', '167', '168', '195', '222', '223', '224', '226', '263', '264', '265', '266', '267', '268', '269', '277', '278', '279', '283', '284', '285', '286', '287', '288', '289', '335', '356', '376', '377', '389', '390', '391', '403', '414', '415', '416', '442', '443', '444', '446']"
9,18,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']",15,"['53', '54', '205', '206', '392', '393', '394', '395', '396', '397', '447', '448', '449', '453', '454']",19,"['10', '14', '15', '35', '44', '46', '63', '65', '69', '76', '97', '135', '308', '311', '312', '316', '422', '428', '429']"
